Start,End,imem_se,imem_de,dmem_se,dmem_de,regfile_se,regfile_de,iv
2023-12-06 18:09:24.314645248+00:00,2023-12-06 23:48:41.899608832+00:00,518137,0,865,0,5493,0,0
2023-12-06 23:50:18.905822720+00:00,2023-12-07 02:39:58.413083904+00:00,204102,0,1301,0,5932,0,0
2023-12-07 02:41:48.252900864+00:00,2023-12-07 03:33:44.555697920+00:00,227358,0,475,0,57417,0,0
2023-12-07 03:40:21.157831680+00:00,2023-12-07 06:33:49.115754752+00:00,721971,0,1902,0,0,0,0
2023-12-07 10:31:59.874090752+00:00,2023-12-07 10:44:20.518226432+00:00,26280,0,24,0,0,0,8760
2023-12-07 10:47:24.292925184+00:00,2023-12-07 14:35:51.196399104+00:00,1077641,0,2443,0,0,0,543604
2023-12-07 16:47:03.839489536+00:00,2023-12-07 19:22:21.857758720+00:00,950348,0,2447,0,0,0,525532
2023-12-07 19:25:40.873956352+00:00,2023-12-07 23:20:19.373693696+00:00,1106499,0,690,0,0,0,564989
2023-12-07 23:22:54.448320+00:00,2023-12-07 23:23:44.552857600+00:00,1106500,0,0,0,0,0,564989
2023-12-07 23:55:43.808914176+00:00,2023-12-08 01:50:58.256248576+00:00,593133,0,898,0,16,0,560990
2023-12-08 01:54:38.215900416+00:00,2023-12-08 04:41:56.572859136+00:00,618987,0,2330,0,0,0,505064
